policy,schd_time,sensors,start_soc,end_soc,exed,exe_time,priority,info
ES-Adap,2017-06-15 08:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",650.0293629444402,500.0293629444402,True,2017-06-15 08:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-15T08:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-15T08:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-15T08:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-15T08:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-15 16:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",950.9242407222176,800.9242407222177,True,2017-06-15 16:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-15T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-15T16:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-15T16:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-15T16:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-15 20:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",815.8627901111065,665.8627901111065,True,2017-06-15 20:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-15T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-15T20:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-15T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-15T20:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-16 04:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",643.6405678888839,493.6405678888839,True,2017-06-16 04:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-16T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-16T04:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-16T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-16T04:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-16 12:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",753.4909466666614,603.4909466666614,True,2017-06-16 12:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-16T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-16T12:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-16T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-16T12:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-16 20:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",736.4860039444387,586.4860039444387,True,2017-06-16 20:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-16T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-16T20:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-16T20:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-16T20:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-17 04:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",564.2637817222161,414.2637817222161,True,2017-06-17 04:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-17T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-17T04:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-17T04:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-17T04:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-17 12:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",544.695727499994,394.695727499994,True,2017-06-17 12:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-17T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-17T12:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-17T12:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-17T12:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-17 13:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",398.55698472221616,248.55698472221616,True,2017-06-17 13:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-17T13:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-17T13:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-17T13:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-17T13:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
ES-Adap,2017-06-17 14:00:00,"['tm1', 'ec1', 'ph1', 'orp1']",251.8377719444384,101.83777194443836,True,2017-06-17 14:00:01,"{'tm1': {'consum': 20, 'ideal_interval': 1, 'last_used_time': '2017-06-17T14:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'ec1': {'consum': 20, 'ideal_interval': 2, 'last_used_time': '2017-06-17T14:00:00', 'time_gap': 1.0, 'priority': 0.5}, 'ph1': {'consum': 40, 'ideal_interval': 1, 'last_used_time': '2017-06-17T14:00:00', 'time_gap': 1.0, 'priority': 1.0}, 'orp1': {'consum': 40, 'ideal_interval': 2, 'last_used_time': '2017-06-17T14:00:00', 'time_gap': 1.0, 'priority': 0.5}}",[]
